country,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01
Haiti,0,0,15,61,1508,4263,1531,831,531,314,218,727,1673,859,285,333,1974,3721,1482,721,1126,1918,1260,818,3308,873,213,140,189,785,728,1146,210,71,44,93,174,59
Holy See,0,0,6,4,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,139,599,4148,13196,22862,18701,15892,20613,11363,13399,25198,22801,19064,21515,27462,23379,34230,40837,29861,10122,2507,1654,12332,20859,8280,2166,1934,2242,12546,14092,2398,743,1066,7715,4641,1560
Hungary,0,0,492,2283,1092,278,360,1456,20500,48860,141801,105392,45072,61013,223834,126915,25190,3590,1363,2846,10368,40714,239689,153307,296990,234139,64327,49146,16760,10348,37356,83066,45595,47371,24839,19464,6631,3479
Iceland,0,1,1136,660,9,12,44,156,573,1972,434,250,94,11,80,233,92,36,1228,2749,954,1726,4022,11814,35963,65116,51084,4244,2867,6456,7652,2458,1021,837,965,1052,603,463
India,5,2,1244,31799,149093,384697,1072030,1982375,2604518,1911356,1294572,834983,479509,350548,1052604,6613641,9284558,2315314,1251145,1154887,971100,533320,314522,250982,6463636,1621690,100310,51424,82223,294077,567647,408582,158914,66285,18755,6037,4400,3587
Indonesia,0,0,1528,8590,16355,29912,51991,66420,112212,123080,128795,204315,335116,256320,177078,156656,153335,356569,1231386,680143,125303,29254,12051,6311,90650,1211078,448370,33978,8177,33487,118638,151710,72816,61455,171765,54971,10201,6030
Iran (Islamic Republic of),0,392,44214,49051,55293,76255,76325,72040,80067,151315,343797,270004,192978,211428,252075,604571,422289,290715,658353,1109582,612218,343249,196981,79506,151481,696288,119266,61388,10681,5795,143702,146200,20469,9469,2227,1394,3194,3572
Iraq,0,17,613,1373,4176,40972,74112,109914,127113,112343,79802,44007,24480,73319,152019,214534,138288,141522,277780,264829,119656,53333,26246,12988,109929,98225,17619,5773,3037,17874,97879,14099,2447,1132,2866,1057,172,0
Ireland,0,0,2625,17252,4999,563,503,2777,6658,25998,11645,16497,105453,24359,16827,12779,13449,10283,26459,51725,40903,53447,119389,187841,426625,130763,153005,67341,32725,35491,47212,10515,7778,9134,7151,11975,8671,2852
