country,continent,total_vaccinations,total_vaccinations_per_people,population
Puerto Rico,Americas,7819012,2.73,2860848
Qatar,Asia,7608190,2.64,2881050
Republic of Korea,Asia,135542622,2.64,51269271
Republic of Moldova,Europe,2284353,0.57,4035959
Romania,Europe,16108109,0.83,19337466
Russian Federation,Europe,186318525,1.28,145903309
Rwanda,Africa,26106436,2.02,12952191
Saba,Americas,4961,2.57,1933
"Saint Helena, Ascension and Tristan da Cunha",Africa,7892,1.30,6071
Saint Kitts and Nevis,Americas,64297,1.21,53192
Saint Lucia,Americas,122977,0.67,183627
Saint Vincent and the Grenadines,Americas,73418,0.66,110940
Samoa,Oceania,449369,2.26,198414
San Marino,Europe,69338,2.04,33939
Sao Tome and Principe,Africa,228291,1.04,219159
Saudi Arabia,Asia,68454048,1.97,34813811
Senegal,Africa,2929547,0.18,16744096
Serbia,Europe,6719835,0.97,6927665
Seychelles,Africa,224020,2.28,98347
Sierra Leone,Africa,7401004,0.93,7977025
Singapore,Asia,14901574,2.55,5850339
Sint Eustatius,Americas,4318,1.38,3139
Sint Maarten,Americas,67068,1.56,42882
Slovakia,Europe,7219911,1.32,5457227
Slovenia,Europe,3016318,1.44,2096121
Solomon Islands,Oceania,766518,1.12,686881
Somalia,Africa,8726329,0.55,15893216
South Africa,Africa,38645389,0.65,59308455
South Sudan,Africa,3204237,0.29,11193841
Spain,Europe,112662655,2.38,47337250
Sri Lanka,Asia,40116590,1.87,21413216
Sudan,Africa,18495743,0.42,43849557
Suriname,Americas,554588,0.95,586630
Sweden,Europe,23206123,2.25,10327603
Switzerland,Europe,16748885,1.94,8655755
Syrian Arab Republic,Asia,4971203,0.28,17500539
Tajikistan,Asia,18871161,1.98,9535705
Thailand,Asia,139091177,1.99,69800010
The United Kingdom,Europe,151248820,2.23,67885467
Timor-Leste,Asia,2013410,1.53,1318445
Togo,Africa,3399716,0.41,8278664
Tokelau,Africa,6342,4.70,1350
Tonga,Oceania,203806,1.93,105695
Trinidad and Tobago,Americas,1588979,1.14,1399488
Tunisia,Africa,13244621,1.12,11818590
Turkmenistan,Asia,13040514,2.16,6031690
Turks and Caicos Islands,Americas,73907,1.91,38718
Tuvalu,Oceania,25591,2.17,11792
Uganda,Africa,26299538,0.58,45740713
Ukraine,Europe,31668577,0.72,43741128
United Arab Emirates,Asia,24922054,2.52,9890410
United Republic of Tanzania,Africa,39392419,0.66,59734357
United States of America,Americas,664718300,2.01,331002042
Uruguay,Americas,8948790,2.58,3473734
Uzbekistan,Asia,75503399,2.26,33467819
Vanuatu,Oceania,292146,0.95,307144
Venezuela (Bolivarian Republic of),Americas,37860994,1.33,28435911
Viet Nam,Asia,266477589,2.74,97338433
